Protein accession number,Latitude,Longitude,Exact sampling location,Coordinate evidence,Source URL
WP_226766338.1,GCF_020531985.1: 38.47,GCF_020531985.1: 128.43,GCF_039523055.1: South Korea | GCF_020531985.1: South Korea: the East Sea | depth: 1m,GCF_020531985.1: BioSample SAMN22234094 lat_lon field: 38.47 N 128.43 E | GCF_020531985.1: GenBank NZ_JAJAVQ010000002.1 /lat_lon qualifier: 38.47 N 128.43 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN22234094 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAJAVQ010000002.1
WP_194298376.1,GCF_015265435.1: 18,GCF_015265435.1: 116,China: South China Sea | depth: 3850 m,GCF_015265435.1: BioSample SAMN14884351 lat_lon field: 18 N 116 E | GCF_015265435.1: GenBank NZ_JABJWH010000040.1 /lat_lon qualifier: 18 N 116 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN14884351 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JABJWH010000040.1
WP_050660496.1,Not reported,Not reported,Indian Ocean: Southwest Indian Ocean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN03797428 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_LFWC01000019.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA288254
WP_134052912.1,GCF_964013185.1: -8.9111 | GCF_047636455.1: 79.7913,GCF_964013185.1: -142.5571 | GCF_047636455.1: 1.7609,GCF_964013185.1: depth: 5 | GCF_977272165.1: depth: 5 | GCF_977291755.1: depth: 5 | GCF_047636455.1: Arctic Ocean | GCF_004369005.1: Pacific Ocean,GCF_964013185.1: BioSample SAMEA115421644 latitude/longitude fields: -8.91110000; -142.55710000 | GCF_047636455.1: BioSample SAMN44748018 lat_lon field: 79.7913 N 1.7609 E | GCF_047636455.1: GenBank NZ_JBLILD010000011.1 /lat_lon qualifier: 79.7913 N 1.7609 E,https://www.ncbi.nlm.nih.gov/biosample/SAMEA115421644 | https://www.ncbi.nlm.nih.gov/biosample/SAMN44748018 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBLILD010000011.1
WP_230818297.1,Not reported,Not reported,Indian Ocean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN21035624 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAINWG010000001.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA758777
WP_415186404.1,GCF_047621045.1: 79.7913,GCF_047621045.1: 1.7609,Arctic Ocean,GCF_047621045.1: BioSample SAMN44748180 lat_lon field: 79.7913 N 1.7609 E | GCF_047621045.1: GenBank NZ_JBLHLL010000002.1 /lat_lon qualifier: 79.7913 N 1.7609 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN44748180 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBLHLL010000002.1
WP_218355362.1,GCF_019249245.1: -27.74,GCF_019249245.1: -117.62,Pacific Ocean | depth: 3660m,GCF_019249245.1: BioSample SAMN17320765 lat_lon field: 27.74 S 117.62 W | GCF_019249245.1: GenBank NZ_JAESDK010000031.1 /lat_lon qualifier: 27.74 S 117.62 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN17320765 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAESDK010000031.1
WP_475263346.1,Not reported,Not reported,"USA: Atlantic ocean at Key West, Florida",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN51861935 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBSWWX010000010.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1334387
WP_232359458.1,GCF_019900845.1: 29.47,GCF_019900845.1: 121.58,"China: Meishan island,ningbo | depth: 0.1 m",GCF_019900845.1: BioSample SAMN18876451 lat_lon field: 29.47 N 121.58 E | GCF_019900845.1: GenBank NZ_CP074570.1 /lat_lon qualifier: 29.47 N 121.58 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN18876451 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP074570.1
WP_303473067.1,GCF_030548205.1: 42.42,GCF_030548205.1: -70.907,"USA:Canoe Beach, Nahant, MA | depth: 0",GCF_030548205.1: BioSample SAMN36510958 lat_lon field: 42.420 N 70.907 W | GCF_030548205.1: GenBank NZ_JAUORV010000005.1 /lat_lon qualifier: 42.420 N 70.907 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN36510958 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAUORV010000005.1
WP_299599601.1,37.562,122.121,China | depth: 0,BioSample SAMEA112157198 latitude/longitude fields: 37.562; 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157198
WP_460311521.1,Not reported,Not reported,South Korea,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMD00809423 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAAGTF010000004.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJDB10510
WP_353370548.1,GCF_040370605.1: 36.178,GCF_040370605.1: 133.277,"Japan:Shimane, Oki, Sea of Japan | depth: 13",GCF_040370605.1: BioSample SAMD00755691 lat_lon field: 36.178 N 133.277 E | GCF_040370605.1: GenBank NZ_BAABWR010000011.1 /lat_lon qualifier: 36.178 N 133.277 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00755691 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAABWR010000011.1
WP_303500066.1,GCF_030548145.1: 42.42 | GCF_030549285.1: 42.42,GCF_030548145.1: -70.907 | GCF_030549285.1: -70.907,"GCF_030548145.1: USA:Canoe Beach, Nahant, MA | depth: 0 | GCF_030549285.1: USA:Canoe Beach, Nahant, MA | depth: 0",GCF_030548145.1: BioSample SAMN36510955 lat_lon field: 42.420 N 70.907 W | GCF_030548145.1: GenBank NZ_JAUORY010000006.1 /lat_lon qualifier: 42.420 N 70.907 W | GCF_030549285.1: BioSample SAMN36510954 lat_lon field: 42.420 N 70.907 W | GCF_030549285.1: GenBank NZ_JAUORZ010000006.1 /lat_lon qualifier: 42.420 N 70.907 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN36510955 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAUORY010000006.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN36510954 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAUORZ010000006.1
WP_218312562.1,GCF_019249295.1: 38.35,GCF_019249295.1: 1.67,Spain: Mediterranean Sea,GCF_019249295.1: BioSample SAMN17315413 lat_lon field: 38.35 N 1.67 E | GCF_019249295.1: GenBank NZ_JAESDH010000025.1 /lat_lon qualifier: 38.35 N 1.67 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN17315413 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAESDH010000025.1
WP_108566897.1,GCF_003429285.1: -6.1,GCF_003429285.1: 153,Pacific Ocean: New Britain Trench | depth: 4700 m,GCF_003429285.1: BioSample SAMN09858433 lat_lon field: 6.1 S 153 E | GCF_003429285.1: GenBank NZ_CP031769.1 /lat_lon qualifier: 6.1 S 153 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN09858433 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP031769.1
WP_169211550.1,Not reported,Not reported,South Korea: Jeju Island,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN14445999 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAATNW010000007.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA615052
WP_216049299.1,GCF_018860635.1: 42.25,GCF_018860635.1: -70.54,"USA:Massachusetts, Nahant, Canoe Beach | USA: Massachusetts, Nahant, Canoe Beach | depth: 0-2 m",GCF_018860635.1: BioSample SAMN19350943 lat_lon field: 42.25 N 70.54 W | GCF_018860635.1: GenBank NZ_JAHKPT010000026.1 /lat_lon qualifier: 42.25 N 70.54 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN19350943 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAHKPT010000026.1
WP_229158737.1,Not reported,Not reported,South Korea: Ganghwa Island,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN22563708 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAJEWP010000001.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA774431
WP_342806235.1,GCF_037478005.1: 11.2,GCF_037478005.1: 142.11,Pacific Ocean: Mariana Trench | depth: 2500 m,GCF_037478005.1: BioSample SAMN39457126 lat_lon field: 11.20 N 142.11 E | GCF_037478005.1: GenBank NZ_CP144164.1 /lat_lon qualifier: 11.20 N 142.11 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN39457126 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP144164.1
WP_489728994.1,GCF_058068185.1: -62.209722,GCF_058068185.1: -58.945,Antarctica: King George Island | depth: 0m,GCF_058068185.1: BioSample SAMN60384991 lat_lon field: 62.209722 S 58.945000 W | GCF_058068185.1: GenBank NZ_CM176486.1 /lat_lon qualifier: 62.209722 S 58.945000 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN60384991 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CM176486.1
WP_339720544.1,74.305,-85.6552,depth: 441,BioSample SAMEA115300636 latitude/longitude fields: 74.305; -85.6552,https://www.ncbi.nlm.nih.gov/biosample/SAMEA115300636
WP_077405297.1,GCF_001999945.1: 33.165,GCF_001999945.1: 126.272,South Korea | depth: 1m,GCF_001999945.1: BioSample SAMN06311449 lat_lon field: 33.165 N 126.272 E | GCF_001999945.1: GenBank NZ_CP019650.1 /lat_lon qualifier: 33.165 N 126.272 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN06311449 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP019650.1
WP_318967992.1,GCF_033721375.1: 19.86 | GCF_033721375.1: 19.8567 | GCF_057457455.1: 19.856667 | GCF_057457455.1: 19.8567,GCF_033721375.1: 109.23 | GCF_033721375.1: 109.2317 | GCF_057457455.1: 109.231667 | GCF_057457455.1: 109.2317,GCF_033721375.1: China: tidal flats of Hainan Island | China: Hainan | depth: 0 m | GCF_057457455.1: China: Hainan,GCF_033721375.1: BioSample SAMN37905551 lat_lon field: 19.86 N 109.23 E | GCF_033721375.1: GenBank NZ_JAWWAP010000010.1 /lat_lon qualifier: 19.86 N 109.23 E | GCF_033721375.1: Parent BioSample SAMN30677860 lat_lon field: 19.8567 N 109.2317 E | GCF_057457455.1: BioSample SAMN44813666 lat_lon field: 19.856667 N 109.231667 E | GCF_057457455.1: GenBank NZ_JBVCRM010000010.1 /lat_lon qualifier: 19.856667 N 109.231667 E | GCF_057457455.1: Parent BioSample SAMN30677860 lat_lon field: 19.8567 N 109.2317 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN37905551 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAWWAP010000010.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN30677860 | https://www.ncbi.nlm.nih.gov/biosample/SAMN44813666 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBVCRM010000010.1
WP_390614625.1,Not reported,Not reported,"coastal region of Ishigaki Island, Japan | Japan:Okinawa, Ishigaki Island",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMD00769374 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_AP031498.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJDB17481 | https://pubmed.ncbi.nlm.nih.gov/22133150/
WP_369812671.1,Not reported,Not reported,"Japan:Tokyo, Torishima Island",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMD01611118 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_AP043778.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJDB20694
WP_268408416.1,Not reported,Not reported,Germany,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN14732910 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JABEPE010000006.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA628504
WP_487122015.1,GCF_057547795.1: 34.365,GCF_057547795.1: 133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea | depth: 2.8",GCF_057547795.1: BioSample SAMD01680974 lat_lon field: 34.365 N 133.217 E | GCF_057547795.1: GenBank NZ_BAAJLP010000021.1 /lat_lon qualifier: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD01680974 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAAJLP010000021.1
WP_372626301.1,GCF_041616895.1: 29.928,GCF_041616895.1: 122.422,China: ZhouShan,GCF_041616895.1: BioSample SAMN42104932 lat_lon field: 29.928 N 122.422 E | GCF_041616895.1: GenBank NZ_JBFJPY010000028.1 /lat_lon qualifier: 29.928 N 122.422 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN42104932 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBFJPY010000028.1
WP_412725544.1,GCF_047159385.1: 34.51,GCF_047159385.1: 138.21,"Japan:Shizuoka, Suruga Bay",GCF_047159385.1: BioSample SAMD00787891 lat_lon field: 34.51 N 138.21 E | GCF_047159385.1: GenBank NZ_AP038333.1 /lat_lon qualifier: 34.51 N 138.21 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00787891 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_AP038333.1
WP_262992133.1,GCF_025628895.1: 36.36,GCF_025628895.1: 120.7,China: Aoshan bay | depth: 10cm,GCF_025628895.1: BioSample SAMN31059940 lat_lon field: 36.36 N 120.7 E | GCF_025628895.1: GenBank NZ_JAOTJC010000004.1 /lat_lon qualifier: 36.36 N 120.7 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN31059940 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAOTJC010000004.1
WP_499614433.1,Not reported,Not reported,Denmark: Helsingor harbor,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN60825989 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CM185021.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1477995
WP_232370634.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA6080467 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_LR733300.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJEB31339 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA7290699 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_LR881454.1
WP_490711645.1,-8.9109,-140.2845,depth: 150,BioSample SAMEA122621261 latitude/longitude fields: -8.91090000; -140.28450000,https://www.ncbi.nlm.nih.gov/biosample/SAMEA122621261
WP_246604452.1,GCF_019249255.1: 38.99,GCF_019249255.1: 2.65,Spain: Mediterranean Sea,GCF_019249255.1: BioSample SAMN17315639 lat_lon field: 38.99 N 2.65 E | GCF_019249255.1: GenBank NZ_JAESDJ010000013.1 /lat_lon qualifier: 38.99 N 2.65 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN17315639 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAESDJ010000013.1
WP_258544420.1,GCF_019249215.1: 38.99,GCF_019249215.1: 2.65,Spain: Mediterranean Sea,GCF_019249215.1: BioSample SAMN17315612 lat_lon field: 38.99 N 2.65 E | GCF_019249215.1: GenBank NZ_JAESDI010000015.1 /lat_lon qualifier: 38.99 N 2.65 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN17315612 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAESDI010000015.1
WP_105936495.1,GCF_002993365.1: 5,GCF_002993365.1: 130,Pacific Ocean: Western Pacific | depth: 0 m,GCF_002993365.1: BioSample SAMN08634501 lat_lon field: 5 N 130 E | GCF_002993365.1: GenBank NZ_PVNP01000204.1 /lat_lon qualifier: 5 N 130 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN08634501 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_PVNP01000204.1
WP_487964638.1,GCF_982810005.1: 36.9,GCF_982810005.1: -75.93,"USA | USA: Atlantic Ocean off North Carolina Coast (GAZ,00051144)",GCF_982810005.1: BioSample SAMEA122256593 latitude/longitude fields: 36.90000000; -75.93000000 | GCF_982810005.1: Parent BioSample SAMN24661228 lat_lon field: 36.90 N 75.93 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA122256593 | https://www.ncbi.nlm.nih.gov/biosample/SAMN24661228
WP_488801699.1,GCF_982813135.1: 38.58,GCF_982813135.1: -76.42,"USA | USA: Chesapeake Bay (GAZ,00002604)",GCF_982813135.1: BioSample SAMEA122256659 latitude/longitude fields: 38.58000000; -76.42000000 | GCF_982813135.1: Parent BioSample SAMN24661245 lat_lon field: 38.58 N 76.42 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA122256659 | https://www.ncbi.nlm.nih.gov/biosample/SAMN24661245
WP_488798885.1,GCF_982772495.1: 25.86 | GCF_982774915.1: 22.56 | GCF_982777655.1: 24.43 | GCF_982777835.1: 22.56,GCF_982772495.1: -68.99 | GCF_982774915.1: -63.73 | GCF_982777655.1: -65.55 | GCF_982777835.1: -63.73,GCF_982772495.1: Atlantic Ocean | Atlantic Ocean: Sargasso Sea (GAZ:00002454) | GCF_982774915.1: Atlantic Ocean | Atlantic Ocean: Sargasso Sea (GAZ:00002454) | GCF_982777655.1: Atlantic Ocean | Atlantic Ocean: Sargasso Sea (GAZ:00002454) | GCF_982777835.1: Atlantic Ocean | Atlantic Ocean: Sargasso Sea (GAZ:00002454),GCF_982772495.1: BioSample SAMEA122256505 latitude/longitude fields: 25.86000000; -68.99000000 | GCF_982772495.1: Parent BioSample SAMN24661210 lat_lon field: 25.86 N 68.99 W | GCF_982774915.1: BioSample SAMEA122256553 latitude/longitude fields: 22.56000000; -63.73000000 | GCF_982774915.1: Parent BioSample SAMN24661219 lat_lon field: 22.56 N 63.73 W | GCF_982777655.1: BioSample SAMEA122256597 latitude/longitude fields: 24.43000000; -65.55000000 | GCF_982777655.1: Parent BioSample SAMN24661230 lat_lon field: 24.43 N 65.55 W | GCF_982777835.1: BioSample SAMEA122256561 latitude/longitude fields: 22.56000000; -63.73000000 | GCF_982777835.1: Parent BioSample SAMN24661222 lat_lon field: 22.56 N 63.73 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA122256505 | https://www.ncbi.nlm.nih.gov/biosample/SAMN24661210 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA122256553 | https://www.ncbi.nlm.nih.gov/biosample/SAMN24661219 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA122256597 | https://www.ncbi.nlm.nih.gov/biosample/SAMN24661230 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA122256561 | https://www.ncbi.nlm.nih.gov/biosample/SAMN24661222
WP_475070608.1,Not reported,Not reported,"USA: Atlantic ocean at Key West, Florida",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN51861915 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBSWXR010000002.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1334387
WP_255052969.1,GCF_024331185.1: 24.56,GCF_024331185.1: -81.4,"USA: FL, Looe Key",GCF_024331185.1: BioSample SAMN29402432 lat_lon field: 24.56 N 81.40 W | GCF_024331185.1: GenBank NZ_JANDJN010000052.1 /lat_lon qualifier: 24.56 N 81.40 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN29402432 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JANDJN010000052.1
WP_140959234.1,Not reported,Not reported,"China: Beilun estuary national nature reserve, Fangchenggang City, Guangxi Province",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN12097423 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_VHIP01000008.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA549769
WP_390517656.1,Not reported,Not reported,Japan:Fukui,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMD00769372 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_AP031496.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJDB17481 | https://pubmed.ncbi.nlm.nih.gov/29462302/
WP_345421781.1,Not reported,Not reported,Japan,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMD00645881 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAABLX010000017.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJDB10510
WP_464370279.1,GCF_055393175.1: 34.365,GCF_055393175.1: 133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea | depth: 7.7m",GCF_055393175.1: BioSample SAMD00787893 lat_lon field: 34.365 N 133.217 E | GCF_055393175.1: GenBank NZ_AP036019.1 /lat_lon qualifier: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00787893 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_AP036019.1
